Reach,DateTime,elev,width,D50,slope,yield
deposit_downstream,2020-06-09 18:00:00,1576.6531341723407,2.3160191066929268,32.38152645855477,0.032905123095196054,356.5059428817131
deposit_downstream,2020-06-09 18:30:00,1576.6542135632576,2.323956097877392,32.269984416144304,0.032913107541868526,393.789052526365
deposit_downstream,2020-06-09 19:00:00,1576.6536692750092,2.3239561028285887,32.28816820588798,0.03290890091376132,391.99862041266323
deposit_downstream,2020-06-09 19:30:00,1576.6531274892172,2.3239561077543485,32.30631971069899,0.03290472261419158,390.225962757644
deposit_downstream,2020-06-09 20:00:00,1576.6525881809368,2.323956112682725,32.32443840206596,0.03290057197112277,388.4708930435331
deposit_downstream,2020-06-09 20:30:00,1576.6520513254898,2.3239561176137378,32.3425237633195,0.03289644833815075,386.73322397355764
deposit_downstream,2020-06-09 21:00:00,1576.6515168984627,2.3239561225474055,32.36057528956538,0.032892351093291645,385.0127700924899
deposit_downstream,2020-06-09 21:30:00,1576.6509848757041,2.3239561274837457,32.37859248761186,0.032888279637835326,383.309347760464
deposit_downstream,2020-06-09 22:00:00,1576.6504552333229,2.3239561324227753,32.396574875893364,0.03288423339525342,381.6227751092956
deposit_downstream,2020-06-09 22:30:00,1576.6515039960157,2.331893122841063,32.28442516595129,0.03289206810609678,420.5278960051289
deposit_downstream,2020-06-09 23:00:00,1576.650845841293,2.3318931345281917,32.30349945558505,0.032887667289921575,448.74327975362365
deposit_downstream,2020-06-09 23:30:00,1576.6502310350309,2.3318931436455683,32.323439006755066,0.03288305596046145,446.63249311843236
deposit_downstream,2020-06-10 00:00:00,1576.649698903842,2.331893147684703,32.34334046972144,0.03287847618097062,414.56102577923014
deposit_downstream,2020-06-10 00:30:00,1576.6490498089568,2.3318931593538816,32.362305513392236,0.032874165132471704,442.5673759777991
deposit_downstream,2020-06-10 01:00:00,1576.6485228279362,2.3318931633976128,32.382129733599,0.03286964534819598,410.7155398534525
deposit_downstream,2020-06-10 01:30:00,1576.6479585806194,2.331893169988079,32.401019165965046,0.032865390310553584,408.86469330018264
deposit_downstream,2020-06-10 02:00:00,1576.6473181379022,2.3318931816770476,32.41987042549223,0.032861161957857224,436.6709548238858
deposit_downstream,2020-06-10 02:30:00,1576.6484566623296,2.3398301677628046,32.30731651356212,0.03286862471267482,417.36999451354745
deposit_downstream,2020-06-10 03:00:00,1576.6478051287895,2.339830178944473,32.32638319471449,0.03286427624583295,445.47318575489896
deposit_downstream,2020-06-10 03:30:00,1576.6472760470087,2.3398301828060952,32.346316917031906,0.03285971929060644,413.43398855113776
deposit_downstream,2020-06-10 04:00:00,1576.64663047746,2.339830193964584,32.36530927312091,0.03285543045162868,441.39927909279874
